id,a,b,c,t,distance
0,5.343934419,-3.79334507,-5.849364053,0,8.784199549
1,-2.078381592,0.795552513,-3.898876403,0,4.489299617
2,-6.923645711,1.368067941,-3.871321547,0,8.049572059
3,-13.79414689,4.336901756,16.73966994,1,22.12021145
4,-5.175507274,0.138891844,1.171501584,0,5.308256065
5,-2.527054242,-8.461929747,8.789051768,1,12.45944177
6,-8.121922391,-1.257551024,5.604374022,0,9.947666363
7,8.380613511,-1.441519825,-3.028482355,0,9.026869203
8,-1.59927128,-4.552514669,3.005045602,0,5.684483926
9,-21.34622842,18.42139246,-18.39413667,1,33.66531497
10,5.872469963,8.46326057,-16.84121398,1,19.74181277
11,-0.216949165,5.629879784,-1.53950185,0,5.840606071
12,2.130484946,3.549159491,0.539270185,0,4.174483385
13,3.3851739,8.882630945,-3.045230429,0,9.981681382
14,-9.479429062,-1.769191301,-12.95542724,1,16.15031604
15,0.353831096,4.794286828,-8.373679313,0,9.655510751
16,-2.002548396,4.574680247,8.315189207,0,9.699498492
17,-3.598134649,-3.088954148,-7.305578715,0,8.709746899
18,-12.03052045,7.629669799,11.58530226,1,18.36203997
19,2.255712577,-10.44623253,2.461527076,1,10.96681945
20,-5.500524687,-5.761717835,10.60669605,1,13.26480928
21,0.89061294,-1.066486159,-2.180067913,0,2.585204101
22,-2.283512872,-14.97673206,-16.51887105,1,22.41405887
23,2.453617687,8.306969188,7.605810454,0,11.5271128
24,6.250125105,7.017505205,4.697638841,0,10.50605796
25,-1.019920398,8.342706159,-0.626754431,0,8.42815548
26,14.90814129,14.09363936,-6.013660614,1,21.37866837
27,-7.647881121,16.15927243,-9.308632289,1,20.15596205
28,-0.117555273,-9.131479424,10.76523793,1,14.11694313
29,-3.228026308,1.317536953,4.093263589,0,5.376882394
30,-0.153205402,-4.985740878,-0.446457465,0,5.008034371
31,-8.445313388,18.61857794,3.608980474,1,20.76052752
32,8.672380655,1.86823301,2.559263995,0,9.233109606
33,2.309820358,7.354025837,6.361440539,0,9.994242934
34,6.250972817,-1.218644413,16.28416991,1,17.48524936
35,0.523042208,-0.071207043,-6.270583198,0,6.29276229
36,-1.825349459,-4.621338988,2.769354109,0,5.688408993
37,-0.455740458,-4.109157535,-5.993049849,0,7.280763799
38,18.34833674,-3.595780708,-4.461977089,1,19.22239162
39,-7.108314535,3.661049959,-3.996162826,0,8.938721367
40,-8.910757457,12.28047658,4.916284784,1,15.94934355
